FIPS,year,cdfi,cdfi_pp
37081,2003,8177634.008436316,19.188171242820108
37081,2004,12690756.69404074,29.658784679406814
37081,2005,16076784.720274866,37.42242191110133
37081,2006,16770160.600103283,37.10992487381924
37081,2007,8748343.67117732,18.776049825354654
37081,2008,10080680.2341076,21.34760413477646
37081,2009,3654365.0230944226,7.607523124423711
37081,2010,29442738.651632573,60.126365228858326
37081,2011,8485365.45947049,17.1324959456599
37081,2012,5225147.307276779,10.431955237246479
37081,2013,15168810.534126712,29.94179059656681
37081,2014,14234654.41957672,27.795599107974358
37081,2015,4178850.009481958,8.073512383079517
37081,2016,4924997.786025138,9.446987102267542
37081,2017,9686486.67462805,18.382069510237248
37119,2000,6779559.95856606,9.74839451432598
37119,2001,6383124.440313224,8.958937120397492
37119,2002,14407529.00298272,19.74933778747373
