tract,total_loan,business_loan,total_loan_pp,business_loan_pp
1400000US21111012001,1330000,756000,590.8485117725455,335.8507330075522
1400000US21111012103,419000,210000,121.30862767805444,60.79907353792704
1400000US21111012107,1187000,183000,228.09377401998464,35.165257494235206
1400000US21111012202,3451000,2018000,512.6262626262626,299.7623291740939
1400000US21111012302,902000,727000,136.93638985881282,110.3689084560498
1400000US21111012406,1689000,1326000,326.25072435773615,256.1328954993239
1400000US21111012408,1251000,161000,535.0727117194183,68.8622754491018
1400000US21111012503,1007000,895000,218.43817787418655,194.14316702819957
1400000US21111012601,838000,688000,111.28818061088977,91.36786188579018
1400000US21111012703,6744000,807000,1177.7855396437303,140.93608103388055
1400000US21111004600,1122000,1001000,297.8497478099283,265.7286965755243
1400000US21111006600,468000,146000,208.4632516703786,65.03340757238307
1400000US21111006800,906000,672000,513.0237825594564,380.52095130237825
1400000US21111007000,599000,503000,261.3438045375218,219.45898778359512
1400000US21111010006,499000,449000,128.9072591061741,115.99070007749935
1400000US21111010902,1716000,923000,424.33234421364983,228.23936696340257
1400000US21111011907,1499000,1317000,364.45416970581084,320.2042304886944
1400000US21111012105,2737000,2305000,651.2015227218653,548.417796811801
1400000US21111012106,373000,237000,40.6628147825139,25.836694647334568
1400000US21111012203,4257000,1124000,726.6985319221577,191.87435984977807
1400000US21111012204,1575000,1214000,327.3067331670823,252.28595178719868
1400000US21111012407,1382000,601000,255.452865064695,111.090573012939
1400000US21111012410,189000,165000,46.312178387650086,40.43126684636118
1400000US21111005100,4525000,1194000,1761.3857532113664,464.7722849357727
1400000US21111007400,8060000,1042000,3023.2558139534885,390.847711927982
1400000US21111009400,9446000,3807000,1740.8772576483598,701.6218208625138
1400000US21111010005,883000,665000,184.0733791953304,138.6283093600167
1400000US21111010103,3301000,2486000,990.1019796040791,745.65086982603475
1400000US21111010405,5817000,2277000,1296.700847079804,507.57913508693713
1400000US21111011505,8430000,1318000,978.2987118486712,152.95346408262736
1400000US21111011513,726000,620000,187.45158791634393,160.0826232894397
1400000US21111011515,593000,380000,115.34720871425793,73.91558062633729
1400000US21111011706,360000,305000,104.16666666666667,88.25231481481481
1400000US21111011707,644000,259000,100.9088060169226,40.58288937637104
1400000US21111012301,292000,226000,76.16066770996349,58.94627021387585
1400000US21111012411,658000,167000,100.09126863401278,25.403103133556435
1400000US21111009300,5272000,2017000,1003.8080731150038,384.04417364813406
1400000US21111010311,6478000,1397000,914.8425363649202,197.28851857082333
1400000US21111010602,5492000,1302000,1462.9728289824188,346.83004794885454
1400000US21111010702,4470000,1363000,773.4902232220107,235.8539539712753
1400000US21111010800,1422000,886000,366.6838576585869,228.46828261990717
1400000US21111011102,80130000,13845000,10652.751927678808,1840.6009040148897
1400000US21111011109,302000,119000,143.60437470280553,56.585829766999524
1400000US21111011113,441000,236000,172.4003127443315,92.25957779515247
1400000US21111011514,2217000,1243000,640.1963615362403,358.93733756858217
1400000US21111011711,591000,419000,95.36872680329192,67.6133613038567
1400000US21111006400,2881000,1885000,1444.8345035105317,945.3360080240723
1400000US21111007501,8755000,3153000,1719.701433902966,619.3282262816736
1400000US21111007502,12351000,6602000,2334.782608695652,1248.015122873346
1400000US21111007700,2008000,1332000,519.9378560331435,344.8990160538581
1400000US21111007800,5741000,2862000,1580.671806167401,787.9955947136564
1400000US21111007900,2735000,862000,1265.6177695511337,398.8894030541416
1400000US21111008200,7190000,4860000,1785.891703924491,1207.1535022354694
1400000US21111008300,2127000,1734000,823.4610917537747,671.3124274099883
1400000US21111008400,3748000,2928000,1440.9842368319878,1125.7208765859284
1400000US21111008500,1383000,545000,724.4630696699843,285.48978522786797
1400000US21111008700,6146000,4186000,1325.4259219322837,902.7388397670908
1400000US21111008800,2945000,827000,878.317924246943,246.6447957053385
1400000US21111008900,2146000,1629000,426.8098647573588,323.9856801909308
1400000US21111009600,3546000,1968000,790.6354515050167,438.7959866220736
1400000US21111009700,3046000,648000,1108.4425036390103,235.80786026200875
1400000US21111009800,2788000,1560000,1113.8633639632442,623.2520974830204
1400000US21111009900,3771000,1742000,1158.5253456221199,535.1766513056835
1400000US21111010001,8175000,2799000,1866.0123259529787,638.8952293996805
1400000US21111010007,1939000,542000,402.6162790697674,112.54152823920266
1400000US21111010008,570000,426000,138.99049012435992,103.87710314557425
1400000US21111010102,7800000,2565000,1774.3403093721565,583.4849863512284
1400000US21111010307,4414000,2930000,560.5079365079365,372.06349206349205
1400000US21111010309,7569000,4899000,1586.7924528301887,1027.0440251572327
1400000US21111010312,3631000,1391000,1073.625073920757,411.29509166173864
1400000US21111010313,7963000,2513000,1241.1159600997507,391.6770573566085
1400000US21111010314,6575000,1717000,1003.8167938931298,262.1374045801527
1400000US21111010315,2717000,1966000,760,549.93006993007
1400000US21111010316,9222000,3700000,1973.4645837791568,791.7825807832228
1400000US21111010317,4865000,2666000,982.2329901070059,538.2596406218454
1400000US21111010318,6585000,3461000,1190.5622853010304,625.7457964201772
1400000US21111010319,1255000,672000,271.35135135135135,145.2972972972973
1400000US21111010320,1128000,253000,264.4783118405627,59.3200468933177
1400000US21111010402,12374000,4401000,1540.9713574097136,548.0697384806974
1400000US21111010403,3614000,794000,807.5977653631285,177.43016759776538
1400000US21111010406,32713000,7417000,5167.11419996841,1171.5368820091612
1400000US21111010500,8499000,3793000,2026.4663805436337,904.3872198378637
1400000US21111010601,12328000,4117000,4167.680865449628,1391.8187964841109
1400000US21111010701,17648000,4896000,3614.171615809953,1002.6622977677657
1400000US21111010705,16073000,3597000,2436.7798665858095,545.3305033353547
1400000US21111010706,3124000,1926000,963.0086313193589,593.711467324291
1400000US21111011110,860000,634000,117.6792556102901,86.75424192665572
1400000US21111011111,2331000,1710000,384.65346534653463,282.1782178217822
1400000US21111011112,1921000,876000,677.1237222418047,308.77687698272825
1400000US21111011114,3700000,2375000,646.6270534778049,415.06466270534776
1400000US21111011506,1617000,825000,390.2027027027027,199.0830115830116
1400000US21111011508,1934000,766000,225.1455180442375,89.17345750873108
1400000US21111011516,544000,302000,126.7179128814349,70.34707663638481
1400000US21111011517,1832000,882000,327.084449205499,157.47188002142474
1400000US21111011518,741000,228000,350.85227272727275,107.95454545454545
1400000US21111011519,380000,287000,61.88925081433225,46.74267100977199
1400000US21111011520,2468000,2018000,654.8156009551606,535.4205359511807
1400000US21111011601,7864000,3942000,851.5430427720628,426.8543584190579
1400000US21111011603,2167000,749000,396.0884664595138,136.903673917017
1400000US21111011604,2885000,1240000,1096.958174904943,471.4828897338403
1400000US21111011708,625000,358000,96.77918860328275,55.43511923196036
1400000US21111011709,1375000,852000,280.5549887778005,173.84207304631707
1400000US21111013100,1918000,484000,866.3053297199639,218.60885275519422
1400000US21111004900,50671000,11557000,10482.209350434423,2390.7736863880846
1400000US21111980100,7794000,994000,NA,NA
