FIPS,year,sba_loan_7a,total_loan_7a,total_loan_504,sba_loan_7a_pp,total_loan_7a_pp,total_loan_504_pp
18097,2014,65629466.26960215,93110592.42783725,12605018.157904286,70.40715499312567,99.88885001194802,13.522637278337728
18097,2015,69762282.655487,97128931.78524552,19854972.733675297,74.21803670724304,103.3326082544071,21.12312038937161
18097,2016,82396864.8529339,115347531.39034376,28700387.57219422,86.93614893333928,121.70208400455773,30.281506133445966
18097,2017,86693927.7029469,120050826.1533005,18212206.213150214,90.72122429170423,125.62769059415628,19.058239584798592
18097,2018,71075087.27340992,99290631.14949438,18818560.915528737,73.772964588408,103.05951771223066,19.532878274009256
18097,2019,59656895,83514000,15601000,61.42267403310366,85.98592332371001,16.062772586311276
21111,2009,6294747.34608933,7782320.988451779,6536511.583545451,8.554924064138453,10.576622291332718,8.883495582445123
21111,2010,37640949.78834052,46321200.27942634,10488175.877386766,50.77797309852556,62.48770753411486,14.148641719968387
21111,2011,26422194.010567542,38984154.118676275,7043190.627100183,35.390974859449145,52.21698159430507,9.433939600712828
21111,2012,30165988.00466184,41748670.233925544,11771341.515392032,40.14183650327264,55.55489495322667,15.664107088487503
21111,2013,32352323.59518969,44392806.71374631,6790705.923339731,42.80489329339779,58.735483056891766,8.984685182816996
21111,2014,30633209.905727092,42489543.012112245,6991755.232311109,40.321498209516996,55.92760398791172,9.203020086651348
21111,2015,34617270.81296619,48988211.02951769,4781310.947530948,45.28815692362443,64.08898611618557,6.255165569300723
21111,2016,35485738.21051344,50142430.25774305,10093491.785000436,46.143383123866684,65.2020075338127,13.124930802619964
21111,2017,28491530.418435544,39395685.27114429,4686904.267427622,36.82570244057091,50.91947543466509,6.057889463461433
21111,2018,31745941.621871877,44066267.093920454,6077110.7390611535,40.7867276792557,56.61570405468106,7.807784180513854
21111,2019,24865775,35351500,7310000,31.75729954507953,45.14913268811766,9.335959151666552
26081,2009,8763606.84324416,10605562.286915043,9222780.888613466,14.556374169488976,17.615867038257946,15.319063474574145
26081,2010,49537747.061694704,62884381.08259795,20249256.65428752,81.84756405961018,103.89922259881627,33.45635256902592
26081,2011,32422648.503945448,48274170.10758731,14695707.370628722,53.19164572852074,79.1971869259435,24.10934628284213
26081,2012,41024649.20757222,58800085.38500444,24817224.707948238,66.66544662180377,95.55070011099536,40.328227078749975
26081,2013,33347916.952571236,49136013.535346225,15769611.546136575,53.56320684972652,78.92194467522161,25.329047280130705
26081,2014,33664540.89609842,50932491.495976426,9680079.30939704,53.490798306986264,80.92846530395776,15.38102573662599
26081,2015,40513059.76074708,59375611.70697413,18329944.999470558,63.66214275954323,93.302719943829,28.803639671311547
26081,2016,37287232.126573876,55745245.5045773,18662429.37637732,57.953422639996695,86.64166227009217,29.005951781749022
26081,2017,53463918.536689304,76138608.46783112,24351927.247128885,82.19856360879872,117.05996160632314,37.440081004281645
26081,2018,36819383.67096329,53512252.37228346,12825195.84994294,56.00349179092991,81.3938933151876,19.5075440946553
26081,2019,38852100,55385400,14276000,58.47063533151133,83.35249641820874,21.48472772366631
29095,2009,10404404.17712116,12750416.556486562,8499198.881310292,15.526644048830265,19.02763252721469,12.683478408163396
29095,2010,32842783.12067874,40348763.62800473,10214660.47908482,48.81623689130351,59.9728347107017,15.18267449743873
29095,2011,31995882.46361614,45469424.29998726,3347423.1477833656,47.356336373334564,67.29820170769278,4.954440520606899
29095,2012,34710629.39829855,48197861.96753949,19979389.916329324,51.18301155659085,71.07078635135518,29.460870134243223
29095,2013,37690328.530786306,51399727.556361146,8247005.331548456,55.35328501154538,75.48736983332645,12.11182959671093
