neighborhood,year,amount_business_1m,all_sb_loans,amount_business_1m_pp,all_sb_loans_pp
Hayfield Dundee-Gardiner Lane,2015,1185470.6312932943,2115189.8620246397,259.80070815106166,463.55245716078014
Hayfield Dundee-Gardiner Lane,2016,1842252.7012792304,4868365.650280176,388.49698466453617,1026.648175934242
Hayfield Dundee-Gardiner Lane,2017,1179661.4204140543,2191966.0303195403,248.7687516689275,462.2450506789414
Hayfield Dundee-Gardiner Lane,2018,1968000,3546000,415.0147617039224,747.7857444116406
Hazelwood,2012,58053.130972924955,98905.33425016845,36.78905638334915,62.67765161607633
Hazelwood,2013,1097102.61624516,1239417.9604628284,748.8755059693925,846.0190856401559
Hazelwood,2014,189490.7971461407,227179.57447907477,130.41348736830057,156.3520815410012
Hazelwood,2015,166657.6749563517,543995.8069329971,123.54164192464914,403.25856703706233
Hazelwood,2016,126693.81598425373,1450748.0404098562,94.75977261350316,1085.0770683693763
Hazelwood,2017,278587.86139536055,345938.7729414917,208.36788436451798,258.7425377273685
Hazelwood,2018,532000,546000,397.90575916230364,408.37696335078533
Highlands,2012,322517.39429402753,1905002.7422967225,199.57759547897743,1178.83833062916
Highlands,2013,875133.1614579011,2102868.5190371894,507.6178430730285,1219.7613219473255
Highlands,2014,342339.72744081775,1102396.7369883214,190.8248202011247,614.4909347760989
Highlands,2015,399349.52300861635,1049209.6391906168,216.56698644718892,568.985704550226
Highlands,2016,1152706.0306764068,2145487.0805202313,637.9114724274526,1187.3199117433487
Highlands,2017,619424.2925530543,998018.0529108521,342.7915288063388,552.3066147818772
Highlands,2018,1885000,2881000,1043.1654676258993,1594.355285002767
Highlands Douglass,2012,3205822.899282634,4353984.822969371,1016.4308494872016,1380.464433408171
Highlands Douglass,2013,1613261.2527361063,2564862.3603408146,531.7275058457832,845.3732235797015
Highlands Douglass,2014,470062.80618020537,2268655.013346337,156.84444650657503,756.9753130952074
Highlands Douglass,2015,1013572.1489483778,1947484.0255905753,328.44204437730974,631.0706498997328
Highlands Douglass,2016,664623.296966577,2145487.0805202313,225.83190518741995,729.01361893314
Highlands Douglass,2017,1097003.4835165297,2720568.6391209937,372.7500793464253,924.4201967791348
Highlands Douglass,2018,827000,2945000,281.0057764186204,1000.67957866123
Highview,2012,1043951.588367991,2290817.6319276257,57.50215303596756,126.18108685913664
